customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,num_support_calls,senior_citizen,partner,paperless_billing,churn
CUST-00001,11,43.05,535.08,One year,DSL,,Electronic check,2,0,Yes,Yes,1
CUST-00002,72,44.33,3124.7,Month-to-month,DSL,Yes,Credit card,1,0,Yes,Yes,0
CUST-00003,31,59.34,1916.12,Month-to-month,Fiber optic,Yes,Bank transfer,2,0,No,Yes,1
CUST-00004,21,74.18,1576.1,Month-to-month,DSL,No,Mailed check,1,0,No,Yes,1
CUST-00005,4,87.84,365.52,Month-to-month,DSL,Yes,Electronic check,0,0,Yes,Yes,0
CUST-00006,4,44.92,230.01,Month-to-month,No,No,Electronic check,2,0,Yes,Yes,0
CUST-00007,1,102.32,73.97,One year,Fiber optic,Yes,Bank transfer,2,0,No,Yes,0
CUST-00008,48,58.22,,Month-to-month,No,No,Bank transfer,0,0,No,No,1
CUST-00009,22,64.47,1399.41,One year,No,No,Credit card,3,0,No,Yes,0
CUST-00010,29,46.32,1269.52,Two year,Fiber optic,Yes,Electronic check,0,0,Yes,No,1
CUST-00011,1,15.0,0.0,Month-to-month,DSL,Yes,Credit card,0,0,No,Yes,1
CUST-00012,72,87.1,6299.63,Month-to-month,Fiber optic,No,Electronic check,2,0,No,Yes,1
CUST-00013,42,83.42,3456.41,Month-to-month,No,No,Electronic check,4,0,Yes,No,1
CUST-00014,5,57.97,370.34,One year,Fiber optic,No,Mailed check,1,0,No,Yes,1
CUST-00015,4,66.67,326.16,One year,Fiber optic,Yes,Bank transfer,3,0,No,No,1
CUST-00016,4,77.9,378.27,Month-to-month,DSL,Yes,Electronic check,3,0,No,Yes,0
CUST-00017,8,25.94,213.73,Month-to-month,No,No,Credit card,2,0,No,No,1
CUST-00018,17,51.77,893.05,Two year,Fiber optic,No,Bank transfer,1,0,Yes,Yes,0
CUST-00019,13,84.86,1043.45,Month-to-month,No,No,Credit card,3,1,Yes,Yes,1
CUST-00020,8,33.64,318.93,Month-to-month,DSL,No,Bank transfer,4,0,Yes,No,0
CUST-00021,22,72.34,1610.45,Two year,DSL,No,Bank transfer,2,1,No,No,1
CUST-00022,3,31.09,121.62,One year,DSL,No,Electronic check,2,0,Yes,Yes,0
CUST-00023,8,76.66,697.7,Two year,Fiber optic,Yes,Mailed check,3,0,No,No,0
CUST-00024,10,64.11,610.79,One year,DSL,No,Electronic check,0,0,Yes,Yes,0
CUST-00025,14,24.62,338.4,Two year,DSL,No,Bank transfer,1,0,No,Yes,0
CUST-00026,36,94.12,3404.6,Month-to-month,No,Yes,Electronic check,1,0,No,No,1
CUST-00027,5,46.64,186.4,One year,DSL,No,Electronic check,1,0,No,No,1
CUST-00028,17,44.74,751.26,Two year,No,No,Bank transfer,2,0,No,No,0
CUST-00029,21,70.01,1494.95,One year,Fiber optic,No,Bank transfer,4,0,No,Yes,1
CUST-00030,1,93.72,77.44,Month-to-month,No,No,Electronic check,2,0,Yes,Yes,1
CUST-00031,22,39.6,936.75,Month-to-month,Fiber optic,No,Electronic check,2,0,Yes,No,1
CUST-00032,4,66.54,190.62,Month-to-month,No,,Electronic check,0,1,Yes,Yes,0
CUST-00033,1,75.72,131.86,Month-to-month,No,No,Credit card,4,0,No,Yes,1
CUST-00034,71,82.33,5878.32,Month-to-month,DSL,No,Electronic check,2,0,Yes,Yes,0
CUST-00035,72,69.41,4969.15,One year,DSL,No,Credit card,1,0,No,Yes,0
CUST-00036,39,55.82,2130.93,One year,DSL,Yes,Mailed check,0,0,Yes,Yes,0
CUST-00037,8,44.31,250.47,Month-to-month,Fiber optic,Yes,Credit card,2,0,No,Yes,1
CUST-00038,2,67.15,94.55,One year,No,No,Electronic check,4,0,No,No,1
CUST-00039,27,38.2,1083.66,Month-to-month,Fiber optic,No,Mailed check,0,0,No,No,0
CUST-00040,13,15.0,192.2,Month-to-month,Fiber optic,,Credit card,0,0,No,Yes,1
CUST-00041,3,75.91,285.89,Month-to-month,DSL,No,Credit card,2,0,Yes,Yes,1
CUST-00042,16,87.6,1370.58,Month-to-month,No,No,Bank transfer,0,0,Yes,Yes,1
CUST-00043,1,15.0,50.36,Month-to-month,No,No,Mailed check,1,1,No,Yes,0
CUST-00044,57,39.76,2230.26,Month-to-month,DSL,No,Bank transfer,2,0,Yes,No,1
CUST-00045,7,80.48,515.07,Month-to-month,Fiber optic,No,Mailed check,1,0,No,No,1
CUST-00046,26,116.44,3022.02,Two year,DSL,No,Credit card,1,0,No,No,0
CUST-00047,8,65.52,490.91,Month-to-month,Fiber optic,No,Bank transfer,0,1,No,No,1
CUST-00048,17,46.8,718.46,One year,Fiber optic,No,Electronic check,0,0,Yes,Yes,0
CUST-00049,18,60.43,1078.58,One year,DSL,No,Credit card,0,0,No,Yes,0
CUST-00050,4,99.37,402.81,One year,Fiber optic,Yes,Mailed check,0,1,Yes,No,1
CUST-00051,72,48.85,3580.68,Two year,DSL,No,Mailed check,2,0,Yes,No,1
CUST-00052,35,45.02,1622.55,Month-to-month,Fiber optic,Yes,Bank transfer,5,0,Yes,Yes,1
CUST-00053,67,52.93,3607.4,Month-to-month,Fiber optic,No,Bank transfer,2,0,Yes,Yes,1
CUST-00054,54,41.17,2259.02,Two year,DSL,No,Mailed check,1,0,Yes,No,0
CUST-00055,21,68.07,1446.03,Month-to-month,Fiber optic,No,Credit card,4,0,Yes,Yes,1
CUST-00056,61,105.62,6381.19,One year,Fiber optic,No,Bank transfer,0,0,No,No,0
CUST-00057,2,73.08,153.65,One year,Fiber optic,Yes,Electronic check,1,0,Yes,No,0
CUST-00058,5,58.69,323.3,One year,DSL,No,Mailed check,0,0,No,Yes,1
CUST-00059,1,57.7,130.58,Two year,Fiber optic,No,Electronic check,2,0,Yes,No,0
CUST-00060,9,25.92,267.6,Two year,No,No,Mailed check,0,0,Yes,No,1
CUST-00061,11,87.08,1019.87,One year,DSL,Yes,Electronic check,0,0,No,No,0
CUST-00062,7,63.05,389.78,Month-to-month,DSL,No,Credit card,4,1,No,Yes,1
CUST-00063,42,60.49,2524.18,Two year,DSL,No,Mailed check,3,0,Yes,Yes,0
CUST-00064,10,144.83,1469.74,Month-to-month,Fiber optic,No,Credit card,2,0,Yes,Yes,1
CUST-00065,7,72.47,565.33,Month-to-month,DSL,No,Bank transfer,3,0,Yes,Yes,1
CUST-00066,18,46.21,824.43,Two year,Fiber optic,No,Mailed check,1,0,Yes,Yes,0
CUST-00067,3,54.34,158.9,Month-to-month,Fiber optic,No,Credit card,1,0,No,Yes,1
CUST-00068,38,93.71,3595.38,Month-to-month,Fiber optic,No,Electronic check,0,0,No,No,1
CUST-00069,1,67.83,11.54,Month-to-month,Fiber optic,No,Credit card,0,0,Yes,Yes,1
CUST-00070,72,29.04,2171.47,Two year,Fiber optic,Yes,Mailed check,1,0,No,Yes,0
CUST-00071,35,87.98,3035.37,Month-to-month,Fiber optic,No,Credit card,1,0,Yes,Yes,1
CUST-00072,5,48.3,145.55,One year,DSL,No,Electronic check,0,0,No,No,1
CUST-00073,1,111.83,112.34,Month-to-month,DSL,Yes,Electronic check,1,0,No,No,1
CUST-00074,40,92.0,3764.97,One year,No,Yes,Electronic check,2,0,No,Yes,0
CUST-00075,29,53.82,1590.01,One year,DSL,No,Bank transfer,0,0,No,No,0
CUST-00076,31,97.03,,Month-to-month,Fiber optic,,Mailed check,2,0,No,Yes,0
CUST-00077,35,66.7,2336.44,Month-to-month,No,No,Electronic check,1,0,Yes,Yes,1
CUST-00078,1,86.32,78.7,Month-to-month,DSL,Yes,Bank transfer,2,0,No,No,1
CUST-00079,10,77.12,693.94,Two year,Fiber optic,Yes,Electronic check,1,1,Yes,No,1
CUST-00080,2,43.84,0.0,One year,Fiber optic,Yes,Credit card,2,0,Yes,Yes,1
CUST-00081,47,48.91,2308.64,Two year,No,Yes,Mailed check,0,0,No,No,0
CUST-00082,23,90.75,2152.85,Month-to-month,No,No,Credit card,1,0,Yes,No,1
CUST-00083,9,56.63,526.88,One year,Fiber optic,No,Bank transfer,1,0,No,Yes,0
CUST-00084,1,54.91,86.09,One year,DSL,Yes,Credit card,4,0,No,Yes,0
CUST-00085,8,41.12,408.16,One year,Fiber optic,No,Credit card,1,0,No,Yes,1
CUST-00086,9,75.59,696.75,Two year,Fiber optic,No,Electronic check,2,1,No,Yes,1
CUST-00087,31,116.56,3607.32,Month-to-month,Fiber optic,No,Credit card,1,1,Yes,Yes,0
CUST-00088,24,38.31,878.55,Month-to-month,DSL,No,Electronic check,1,0,No,No,0
CUST-00089,52,65.61,3512.6,One year,DSL,,Electronic check,1,0,Yes,Yes,0
CUST-00090,15,100.31,1530.91,One year,Fiber optic,No,Mailed check,3,0,No,No,0
CUST-00091,3,63.01,141.85,One year,Fiber optic,No,Bank transfer,1,0,No,Yes,1
CUST-00092,29,76.31,2154.41,Month-to-month,DSL,Yes,Bank transfer,1,0,No,Yes,0
CUST-00093,34,38.44,1369.62,Month-to-month,Fiber optic,No,Bank transfer,0,0,No,Yes,0
CUST-00094,19,75.71,1386.57,Month-to-month,No,No,Electronic check,1,0,No,Yes,0
CUST-00095,35,60.32,2203.94,Month-to-month,Fiber optic,No,Bank transfer,1,0,Yes,Yes,0
CUST-00096,16,89.64,1296.47,One year,DSL,No,Electronic check,2,0,Yes,No,0
CUST-00097,17,94.68,1680.77,One year,DSL,No,Mailed check,2,1,Yes,No,0
CUST-00098,13,129.74,1710.95,Month-to-month,DSL,Yes,Bank transfer,1,1,No,Yes,1
CUST-00099,1,79.49,85.42,Month-to-month,No,No,Electronic check,3,0,No,No,1
CUST-00100,2,73.14,137.52,Month-to-month,Fiber optic,No,Bank transfer,0,0,No,Yes,1
CUST-00101,1,69.86,164.4,Month-to-month,Fiber optic,No,Bank transfer,0,1,No,Yes,1
CUST-00102,24,56.17,1383.45,One year,Fiber optic,No,Mailed check,1,0,No,Yes,1
CUST-00103,9,73.46,616.0,Two year,Fiber optic,No,Credit card,3,0,Yes,No,1
CUST-00104,17,57.61,893.51,Month-to-month,No,Yes,Bank transfer,1,0,Yes,Yes,0
CUST-00105,57,69.21,3953.92,One year,Fiber optic,No,Mailed check,4,1,Yes,Yes,0
CUST-00106,6,97.94,587.59,Two year,DSL,No,Bank transfer,0,0,No,No,1
CUST-00107,12,39.84,402.04,Two year,DSL,No,Bank transfer,1,0,Yes,No,1
CUST-00108,33,93.5,3082.63,Month-to-month,Fiber optic,Yes,Bank transfer,2,1,No,No,1
CUST-00109,6,97.93,558.87,Two year,No,No,Bank transfer,0,0,No,No,1
CUST-00110,1,62.05,62.51,Month-to-month,DSL,No,Credit card,0,1,Yes,No,1
CUST-00111,8,15.0,156.3,Month-to-month,No,No,Credit card,0,0,Yes,Yes,0
CUST-00112,4,49.8,273.85,Month-to-month,Fiber optic,No,Bank transfer,0,0,Yes,No,1
CUST-00113,63,97.42,6183.21,Month-to-month,DSL,No,Bank transfer,0,0,Yes,No,0
CUST-00114,39,64.43,2476.63,Month-to-month,DSL,Yes,Mailed check,1,0,No,Yes,0
CUST-00115,24,40.02,978.86,Month-to-month,DSL,Yes,Mailed check,2,0,Yes,Yes,1
CUST-00116,49,52.38,2569.81,Month-to-month,Fiber optic,No,Electronic check,3,0,No,Yes,1
CUST-00117,39,86.02,3288.0,Two year,DSL,,Credit card,3,0,No,Yes,0
CUST-00118,4,78.67,334.58,Two year,Fiber optic,Yes,Bank transfer,3,1,Yes,No,0
CUST-00119,53,59.03,3221.25,Month-to-month,Fiber optic,Yes,Credit card,2,0,No,Yes,0
CUST-00120,18,55.83,1006.55,Two year,Fiber optic,Yes,Mailed check,1,0,No,Yes,0
CUST-00121,39,55.21,2073.33,Two year,DSL,No,Credit card,2,0,No,No,0
CUST-00122,54,41.94,2266.26,One year,Fiber optic,Yes,Credit card,1,0,Yes,Yes,0
CUST-00123,9,105.38,887.77,Month-to-month,Fiber optic,No,Bank transfer,1,0,Yes,Yes,1
