order_id,restaurant,category,city,order_date,amount,delivery_time_min,customer_rating
1225,Noodle Nook,Italian,Toledo,2026-06-08,26.88,20.0,3.0
1147,Pasta Palace,Fast Food,Akron,2026-05-16,51.83,39.0,4.0
1113,Taco Town,Asian,Cincinnati,2026-07-05,17.5,54.0,3.0
1007,Pizza Place,Asian,Akron,2026-03-08,36.379999999999995,42.0,4.0
1279,Pasta Palace,Mexican,Cincinnati,2026-02-11,60.93,34.0,5.0
1106,Pasta Palace,Italian,Cincinnati,2026-03-04,21.59,33.0,4.0
1118,Pasta Palace,Italian,Columbus,2026-06-07,28.57,20.0,3.0
1215,Noodle Nook,Fast Food,Cleveland,2026-03-23,54.13,44.0,3.0
1151,Pizza Place,Italian,Cincinnati,2026-06-28,21.5,32.0,3.0
1181,Taco Town,Italian,Cincinnati,2026-02-03,46.23,40.0,3.0
1013,Pasta Palace,Asian,Cleveland,2026-06-12,23.87,51.0,4.0
1091,Taco Town,Indian,Columbus,2026-07-27,13.02,40.0,3.0
1257,Burger Barn,Indian,Cleveland,2026-07-09,24.11,48.0,3.0
1029,Pizza Place,Fast Food,Cincinnati,2026-10-06,46.01,39.0,2.0
1186,Taco Town,Asian,Toledo,2026-05-24,64.42,17.0,3.0
1205,Curry Corner,Fast Food,Toledo,2026-02-04,10.62,17.0,4.0
1030,Burger Barn,Fast Food,Toledo,2026-04-15,32.5,28.0,2.0
1209,Noodle Nook,Fast Food,Cincinnati,2026-06-16,31.93,17.0,5.0
1074,Sushi Spot,Italian,Toledo,2026-05-28,46.22,24.0,1.0
1003,Pizza Place,Indian,Cincinnati,2026-06-28,36.379999999999995,20.0,1.0
1241,Sushi Spot,Mexican,Cleveland,2026-05-04,23.62,16.0,4.0
1230,Sushi Spot,Fast Food,Cleveland,2026-06-27,16.75,53.0,1.0
1175,Pizza Place,Indian,Akron,2026-07-28,38.99,55.0,1.0
1035,Curry Corner,Italian,Cincinnati,2026-04-27,58.9,28.0,3.0
1066,Pizza Place,Italian,Columbus,2026-07-14,34.2,49.0,4.0
1183,Burger Barn,Italian,Toledo,2026-05-20,35.74,25.0,2.0
1264,Curry Corner,Indian,Cincinnati,2026-07-27,32.67,24.0,5.0
1193,Sushi Spot,Fast Food,Cincinnati,2026-04-06,29.2,29.0,1.0
1277,Burger Barn,Asian,Akron,2026-04-02,19.58,55.0,3.0
1152,Curry Corner,Indian,Akron,2026-02-13,61.67,24.0,2.0
1041,Pizza Place,Fast Food,Toledo,2026-04-21,40.99,27.0,3.0
1172,Taco Town,Indian,Akron,2026-04-18,42.38,35.0,4.0
1130,Pizza Place,Indian,Toledo,2026-06-25,36.379999999999995,41.0,1.0
1155,Burger Barn,Asian,Columbus,2026-02-04,61.42,30.0,2.0
1126,Pasta Palace,Mexican,Cleveland,2026-04-03,36.379999999999995,45.0,1.0
1099,Pizza Place,Asian,Akron,2026-07-22,44.82,28.0,4.0
1217,Curry Corner,Mexican,Cincinnati,2026-06-21,11.48,48.0,5.0
1226,Pasta Palace,Italian,Cincinnati,2026-07-28,27.98,33.0,4.0
1011,Curry Corner,Fast Food,Akron,2026-03-05,45.61,28.0,2.0
1120,Noodle Nook,Mexican,Columbus,2026-03-04,25.34,48.0,1.0
1265,Pasta Palace,Indian,Columbus,2026-06-07,12.27,29.0,4.0
1141,Pasta Palace,Fast Food,Akron,2026-03-08,26.45,36.0,5.0
1104,Noodle Nook,Asian,Akron,2026-05-18,30.6,35.0,3.0
1131,Taco Town,Indian,Toledo,2026-02-14,17.72,30.0,3.0
1163,Pasta Palace,Mexican,Akron,2026-06-22,36.379999999999995,42.0,3.0
1159,Sushi Spot,Mexican,Toledo,2026-06-19,37.86,15.0,2.0
1187,Burger Barn,Italian,Cleveland,2026-01-07,57.08,28.0,5.0
1084,Pizza Place,Asian,Cincinnati,2026-06-28,16.82,22.0,5.0
1065,Taco Town,Asian,Cincinnati,2026-03-10,38.28,39.0,2.0
1133,Pizza Place,Mexican,Cincinnati,2026-04-22,34.2,31.0,2.0
1010,Pizza Place,Mexican,Cincinnati,2026-01-03,58.09,33.0,1.0
1077,Noodle Nook,Italian,Toledo,2026-06-22,41.42,53.0,3.0
1229,Curry Corner,Mexican,Cleveland,2026-07-06,16.95,49.0,3.0
1197,Taco Town,Asian,Akron,2026-05-04,44.74,16.0,3.0
1114,Pasta Palace,Asian,Akron,2026-02-08,56.37,38.0,5.0
1214,Pasta Palace,Fast Food,Akron,2026-03-04,11.52,55.0,1.0
1089,Sushi Spot,Italian,Cincinnati,2026-07-04,36.379999999999995,39.0,2.0
1194,Pasta Palace,Mexican,Columbus,2026-03-06,37.61,42.0,4.0
1053,Burger Barn,Indian,Cleveland,2026-07-16,59.78,51.0,4.0
1094,Noodle Nook,Italian,Cincinnati,2026-02-18,33.21,33.0,3.0
1023,Curry Corner,Italian,Cincinnati,2026-06-22,39.97,17.0,5.0
1144,Curry Corner,Fast Food,Toledo,2026-05-26,12.45,51.0,2.0
1259,Noodle Nook,Mexican,Toledo,2026-02-24,49.24,33.0,1.0
1278,Noodle Nook,Asian,Columbus,2026-03-18,18.66,50.0,2.0
1188,Pizza Place,Indian,Cincinnati,2026-03-16,63.8,21.0,4.0
1235,Curry Corner,Italian,Akron,2026-03-07,26.23,50.0,3.0
1247,Taco Town,Indian,Columbus,2026-02-06,36.92,21.0,3.0
1160,Curry Corner,Fast Food,Columbus,2026-06-10,29.27,46.0,3.0
1054,Burger Barn,Mexican,Cincinnati,2026-06-09,32.95,16.0,3.0
1004,Taco Town,Asian,Akron,2026-06-05,19.94,25.0,2.0
1219,Pizza Place,Indian,Cincinnati,2026-03-13,22.13,29.0,4.0
1103,Pasta Palace,Asian,Akron,2026-06-13,24.25,42.0,3.0
1192,Curry Corner,Fast Food,Cleveland,2026-07-11,8.93,42.0,2.0
1140,Taco Town,Mexican,Columbus,2026-03-20,49.99,55.0,4.0
1199,Pizza Place,Asian,Cleveland,2026-03-06,57.07,19.0,3.0
1224,Sushi Spot,Italian,Toledo,2026-04-20,15.26,51.0,3.0
1024,Burger Barn,Fast Food,Columbus,2026-05-05,59.24,41.0,2.0
1272,Pizza Place,Mexican,Akron,2026-04-12,62.92,47.0,5.0
1127,Burger Barn,Asian,Columbus,2026-05-15,10.58,39.0,5.0
1020,Burger Barn,Indian,Toledo,2026-02-19,36.84,33.0,3.0
1028,Pizza Place,Fast Food,Toledo,2026-06-28,22.52,27.0,1.0
1112,Sushi Spot,Mexican,Akron,2026-06-13,53.67,49.0,1.0
1153,Sushi Spot,Asian,Columbus,2026-05-30,40.06,28.0,1.0
1071,Curry Corner,Fast Food,Cincinnati,2026-02-20,50.99,50.0,4.0
1271,Pasta Palace,Fast Food,Toledo,2026-05-22,60.69,23.0,3.0
1098,Pasta Palace,Mexican,Toledo,2026-04-06,27.0,40.0,1.0
1064,Sushi Spot,Italian,Cincinnati,2026-05-23,51.34,16.0,3.0
1014,Sushi Spot,Fast Food,Cleveland,2026-05-02,31.43,18.0,3.0
1267,Pasta Palace,Indian,Toledo,2026-02-24,58.74,18.0,4.0
1018,Pizza Place,Italian,Toledo,2026-06-11,56.53,51.0,5.0
1085,Noodle Nook,Indian,Akron,2026-07-08,42.71,33.0,3.0
1249,Pasta Palace,Indian,Toledo,2026-02-19,58.7,18.0,2.0
1212,Burger Barn,Indian,Cleveland,2026-03-26,25.57,53.0,3.0
1025,Noodle Nook,Italian,Columbus,2026-02-07,49.98,30.0,1.0
1128,Noodle Nook,Indian,Toledo,2026-03-05,30.45,27.0,4.0
1191,Noodle Nook,Indian,Cleveland,2026-03-28,55.02,23.0,4.0
1182,Noodle Nook,Indian,Akron,2026-07-23,60.36,22.0,2.0
1206,Taco Town,Mexican,Columbus,2026-04-11,40.58,33.0,5.0
1069,Curry Corner,Indian,Columbus,2026-07-24,43.81,52.0,2.0
1161,Pasta Palace,Indian,Cleveland,2026-12-04,8.98,21.0,5.0
1169,Sushi Spot,Mexican,Akron,2026-02-27,13.11,15.0,4.0
1044,Taco Town,Italian,Akron,2026-06-26,27.17,31.0,5.0
1006,Sushi Spot,Asian,Toledo,2026-07-18,30.55,50.0,5.0
1142,Taco Town,Italian,Cincinnati,2026-07-21,34.53,34.0,3.0
1012,Burger Barn,Mexican,Cincinnati,2026-03-03,20.81,19.0,1.0
1093,Sushi Spot,Indian,Columbus,2026-07-18,18.1,43.0,5.0
1101,Sushi Spot,Indian,Columbus,2026-05-24,31.42,43.0,2.0
1173,Taco Town,Asian,Akron,2026-05-05,61.13,16.0,4.0
1109,Sushi Spot,Indian,Cleveland,2026-04-27,10.53,44.0,4.0
1005,Burger Barn,Asian,Akron,2026-07-26,56.04,33.0,3.0
1245,Pasta Palace,Asian,Toledo,2026-04-18,35.46,34.0,5.0
1002,Taco Town,Italian,Cincinnati,2026-04-28,13.29,44.0,4.0
1079,Pizza Place,Fast Food,Cleveland,2026-05-26,37.25,48.0,1.0
1067,Pizza Place,Mexican,Cincinnati,2026-05-28,19.36,51.0,3.0
1184,Taco Town,Indian,Akron,2026-05-03,35.62,41.0,4.0
1115,Pizza Place,Mexican,Columbus,2026-05-07,51.5,30.0,1.0
1156,Sushi Spot,Asian,Toledo,2026-05-09,38.42,21.0,4.0
1171,Taco Town,Italian,Cincinnati,2026-07-03,34.1,39.0,3.0
1243,Noodle Nook,Italian,Columbus,2026-04-10,37.26,23.0,5.0
1166,Pizza Place,Fast Food,Cincinnati,2026-05-23,55.8,35.0,3.0
1154,Noodle Nook,Fast Food,Cincinnati,2026-03-21,23.3,52.0,5.0
1220,Noodle Nook,Italian,Columbus,2026-02-07,53.95,33.0,5.0
1134,Taco Town,Asian,Toledo,2026-04-18,48.18,32.0,5.0
1275,Sushi Spot,Fast Food,Cleveland,2026-04-10,64.06,33.0,2.0
1170,Curry Corner,Italian,Toledo,2026-07-26,17.66,32.0,4.0
1231,Sushi Spot,Asian,Columbus,2026-06-02,25.58,49.0,3.0
1090,Pasta Palace,Fast Food,Akron,2026-02-05,60.51,41.0,4.0
1201,Taco Town,Asian,Cleveland,2026-06-11,63.54,19.0,4.0
1236,Noodle Nook,Indian,Cleveland,2026-06-14,14.41,21.0,5.0
1009,Sushi Spot,Fast Food,Akron,2026-06-09,36.94,27.0,2.0
1037,Taco Town,Mexican,Akron,2026-06-05,23.56,25.0,2.0
1185,Burger Barn,Fast Food,Columbus,2026-02-08,24.65,46.0,1.0
1045,Pizza Place,Indian,Cleveland,2026-02-22,49.04,46.0,1.0
1164,Pizza Place,Italian,Cleveland,2026-07-28,23.45,17.0,3.0
1221,Pizza Place,Mexican,Columbus,2026-03-17,10.16,33.0,3.0
1179,Noodle Nook,Fast Food,Cincinnati,2026-04-04,39.46,55.0,4.0
1048,Taco Town,Asian,Columbus,2026-04-19,48.36,33.0,2.0
1042,Pasta Palace,Indian,Cincinnati,2026-06-25,27.79,41.0,1.0
1227,Burger Barn,Mexican,Akron,2026-06-20,13.78,25.0,1.0
1057,Taco Town,Mexican,Cleveland,2026-07-19,31.56,18.0,5.0
1122,Noodle Nook,Fast Food,Toledo,2026-02-21,62.07,54.0,4.0
1157,Sushi Spot,Asian,Cincinnati,2026-02-12,36.379999999999995,41.0,2.0
1240,Pizza Place,Fast Food,Columbus,2026-06-10,15.73,33.0,2.0
1254,Noodle Nook,Italian,Columbus,2026-02-05,20.79,33.0,1.0
1252,Curry Corner,Fast Food,Cincinnati,2026-06-16,36.379999999999995,37.0,1.0
1276,Taco Town,Fast Food,Akron,2026-07-23,50.32,33.0,1.0
1001,Sushi Spot,Indian,Toledo,2026-06-24,48.81,15.0,2.0
1139,Pasta Palace,Indian,Cincinnati,2026-02-28,24.22,47.0,2.0
1111,Taco Town,Italian,Cleveland,2026-05-03,57.35,43.0,4.0
1268,Pizza Place,Indian,Toledo,2026-07-19,48.81,55.0,3.0
1223,Pizza Place,Asian,Cleveland,2026-04-24,63.62,35.0,5.0
1107,Curry Corner,Indian,Toledo,2026-09-03,32.47,20.0,3.0
1008,Pizza Place,Indian,Akron,2026-06-22,46.78,36.0,3.0
1266,Noodle Nook,Fast Food,Columbus,2026-05-25,13.02,16.0,3.0
1273,Curry Corner,Italian,Toledo,2026-03-26,47.14,26.0,3.0
1180,Pasta Palace,Italian,Toledo,2026-07-02,30.16,19.0,5.0
1021,Burger Barn,Asian,Toledo,2026-07-21,61.11,50.0,3.0
1270,Burger Barn,Asian,Columbus,2026-05-18,60.82,52.0,2.0
1204,Pizza Place,Asian,Cleveland,2026-06-08,37.11,21.0,1.0
1203,Burger Barn,Indian,Cincinnati,2026-04-08,29.2,16.0,4.0
1119,Curry Corner,Indian,Akron,2026-05-16,15.14,23.0,5.0
1248,Curry Corner,Fast Food,Cincinnati,2026-05-02,50.42,33.0,1.0
1176,Curry Corner,Italian,Cincinnati,2026-06-25,63.11,29.0,5.0
1078,Sushi Spot,Asian,Toledo,2026-03-01,15.51,33.0,3.0
1242,Sushi Spot,Indian,Akron,2026-01-05,17.32,39.0,3.0
1046,Taco Town,Mexican,Columbus,2026-04-20,34.98,44.0,3.0
1108,Pizza Place,Indian,Toledo,2026-06-22,30.26,16.0,1.0
1228,Pasta Palace,Asian,Cincinnati,2026-02-19,17.7,20.0,5.0
1256,Burger Barn,Indian,Cleveland,2026-06-02,19.71,48.0,5.0
1261,Taco Town,Indian,Akron,2026-02-24,54.45,39.0,4.0
1082,Taco Town,Mexican,Akron,2026-02-25,32.33,19.0,3.0
1135,Burger Barn,Italian,Cincinnati,2026-11-02,62.45,28.0,5.0
1274,Noodle Nook,Indian,Cincinnati,2026-06-30,46.43,15.0,1.0
1239,Sushi Spot,Mexican,Cincinnati,2026-04-10,42.48,46.0,3.0
1102,Noodle Nook,Italian,Akron,2026-07-24,34.32,27.0,2.0
1189,Taco Town,Italian,Columbus,2026-10-03,55.22,32.0,4.0
1036,Taco Town,Mexican,Toledo,2026-02-16,55.47,33.0,1.0
1092,Taco Town,Fast Food,Columbus,2026-07-13,38.24,24.0,2.0
1062,Curry Corner,Mexican,Columbus,2026-05-03,57.57,24.0,2.0
1000,Curry Corner,Fast Food,Cleveland,2026-04-04,15.95,17.0,3.0
1027,Taco Town,Mexican,Toledo,2026-02-08,57.99,53.0,3.0
1100,Sushi Spot,Italian,Columbus,2026-04-17,36.94,54.0,4.0
1177,Burger Barn,Mexican,Cincinnati,2026-07-24,36.379999999999995,20.0,3.0
1208,Noodle Nook,Indian,Columbus,2026-03-11,36.379999999999995,15.0,1.0
1148,Pasta Palace,Italian,Toledo,2026-03-03,64.59,16.0,4.0
1063,Burger Barn,Asian,Cincinnati,2026-07-17,56.55,46.0,1.0
1269,Curry Corner,Fast Food,Cleveland,2026-06-07,54.84,22.0,4.0
1232,Taco Town,Mexican,Columbus,2026-04-09,34.51,33.0,1.0
