order_id,restaurant,category,city,order_date,amount,delivery_time_min,customer_rating
1225,Noodle Nook,Italian,Toledo ,06/08/2026,26.88,20,3
1147,Pasta Palace,FAST FOOD,Akron ,05/16/2026,51.83,39,4
1113,Taco Town,Asain,Cincinnati,"July 05, 2026",17.5,54,3
1007,Pizza Place,asian,Akron ,"March 08, 2026",,42,4
1279,Pasta Palace,mexican, Cincinnati,02/11/2026,60.93,34,5
1106,Pasta Palace,ITALIAN,Cincinnati,2026-03-04,21.59,,4
1118,Pasta Palace,italian,Columbus ,2026-06-07,28.57,20,
1215,Noodle Nook,Fast Food,Cleveland ,"March 23, 2026",54.13,44,
1151,Pizza Place,ITALIAN,cincinnati,28-06-2026,21.5,32,
1181,Taco Town,Itallian, Cincinnati,02-03-2026,46.23,40,3
1013,Pasta Palace,Asian,Cleveland ,06/12/2026,23.87,51,4
1091,Taco Town,indian,columbus,27-07-2026,13.02,40,3
1257,Burger Barn,INDIAN,Cleveland ,2026-07-09,24.11,48,3
1029,Pizza Place,FAST FOOD, Cincinnati,10-06-2026,46.01,39,2
1186,Taco Town,Asian,Toledo,05/24/2026,64.42,17,3
1205,Curry Corner,Fast Food,toledo,02/04/2026,10.62,17,4
1030,Burger Barn,FAST FOOD,Toledo,04/15/2026,32.5,28,2
1209,Noodle Nook,fast food,Cincinnati ,06/16/2026,31.93,17,5
1074,Sushi Spot,Itallian,Toledo ,28-05-2026,46.22,24,1
1003,Pizza Place,indian,Cincinnati ,06/28/2026,,20,1
1241,Sushi Spot,Mexican,Cleveland ,05/04/2026,23.62,16,4
1230,Sushi Spot,Fastfood,Cleveland,"June 27, 2026",16.75,53,1
1175,Pizza Place,INDIAN,akron,"July 28, 2026",38.99,55,1
1035,Curry Corner,ITALIAN,Cincinnati ,27-04-2026,58.9,28,
1066,Pizza Place,Itallian, Columbus,14-07-2026,34.2,49,4
1183,Burger Barn,Itallian,toledo,05/20/2026,35.74,25,2
1264,Curry Corner,INDIAN,Cincinnati,2026-07-27,32.67,24,5
1193,Sushi Spot,FAST FOOD,Cincinnati,2026-04-06,29.2,29,1
1277,Burger Barn,Asian,akron,04-02-2026,19.58,55,3
1152,Curry Corner,indian,Akron ,13-02-2026,61.67,24,2
1041,Pizza Place,fast food,toledo,2026-04-21,40.99,27,
1172,Taco Town,Indian,akron,18-04-2026,42.38,35,4
1130,Pizza Place,indian,Toledo ,25-06-2026,,41,1
1155,Burger Barn,ASIAN,Columbus ,02/04/2026,$61.42,30,2
1126,Pasta Palace,Mexcian,Cleveland,04/03/2026,,45,1
1099,Pizza Place,asian,akron,2026-07-22,44.82,28,4
1217,Curry Corner,Mexcian,Cincinnati,"June 21, 2026",$11.48,48,5
1226,Pasta Palace,italian,cincinnati,2026-07-28,27.98,,4
1011,Curry Corner,Fast-Food, Akron,03/05/2026,45.61,28,2
1120,Noodle Nook,Mexican, Columbus,03/04/2026,25.34,48,1
1265,Pasta Palace,indian,Columbus ,06/07/2026,12.27,29,4
1141,Pasta Palace,fast food,Akron,"March 08, 2026",26.45,36,5
1104,Noodle Nook,Asian,akron,2026-05-18,30.6,35,3
1131,Taco Town,Indian,Toledo,"February 14, 2026",17.72,30,
1163,Pasta Palace,Mexcian,Akron,"June 22, 2026",,42,3
1159,Sushi Spot,mexican,Toledo,2026-06-19,$37.86,15,2
1187,Burger Barn,italian, Cleveland,01-07-2026,57.08,28,5
1084,Pizza Place,Asian,cincinnati,06/28/2026,16.82,22,5
1065,Taco Town,Asain,Cincinnati ,03/10/2026,38.28,39,2
1133,Pizza Place,Mexcian,cincinnati,04/22/2026,34.2,31,2
1010,Pizza Place,Mexican,Cincinnati,01-03-2026,58.09,,1
1077,Noodle Nook,Italian,toledo,06/22/2026,41.42,53,
1229,Curry Corner,mexican, Cleveland,"July 06, 2026",16.95,49,3
1197,Taco Town,asian,akron,05-04-2026,44.74,16,3
1114,Pasta Palace,asian,Akron,02/08/2026,56.37,38,5
1214,Pasta Palace,fast food, Akron,2026-03-04,11.52,55,1
1089,Sushi Spot,italian, Cincinnati,07-04-2026,,39,2
1194,Pasta Palace,Mexican,Columbus,03/06/2026,$37.61,42,4
1053,Burger Barn,Indian,Cleveland,07/16/2026,$59.78,51,4
1094,Noodle Nook,Itallian,Cincinnati ,"February 18, 2026",33.21,,3
1023,Curry Corner,Itallian,cincinnati,"June 22, 2026",39.97,17,5
1144,Curry Corner,Fast-Food, Toledo,26-05-2026,$12.45,51,2
1259,Noodle Nook,mexican,Toledo,2026-02-24,49.24,33,1
1278,Noodle Nook,Asain, Columbus,2026-03-18,18.66,50,2
1188,Pizza Place,INDIAN,Cincinnati,16-03-2026,63.8,21,4
1235,Curry Corner,italian,Akron ,03-07-2026,26.23,50,3
1247,Taco Town,INDIAN,columbus,02-06-2026,36.92,21,3
1160,Curry Corner,fast food,Columbus ,"June 10, 2026",29.27,46,
1054,Burger Barn,MEXICAN,Cincinnati,"June 09, 2026",32.95,16,
1004,Taco Town,asian,akron,06-05-2026,19.94,25,2
1219,Pizza Place,Indian, Cincinnati,2026-03-13,22.13,29,4
1103,Pasta Palace,Asian,akron,2026-06-13,24.25,42,
1192,Curry Corner,Fast Food, Cleveland,"July 11, 2026",8.93,42,2
1140,Taco Town,MEXICAN, Columbus,2026-03-20,49.99,55,4
1199,Pizza Place,ASIAN,Cleveland,"March 06, 2026",57.07,19,
1224,Sushi Spot,Itallian, Toledo,20-04-2026,15.26,51,
1024,Burger Barn,FAST FOOD,columbus,2026-05-05,59.24,41,2
1272,Pizza Place,mexican, Akron,"April 12, 2026",62.92,47,5
1127,Burger Barn,ASIAN, Columbus,15-05-2026,10.58,39,5
1020,Burger Barn,Indian,toledo,02/19/2026,36.84,,3
1028,Pizza Place,Fastfood, Toledo,06/28/2026,$22.52,27,1
1112,Sushi Spot,MEXICAN,Akron,13-06-2026,$53.67,49,1
1153,Sushi Spot,asian,Columbus ,2026-05-30,40.06,28,1
1071,Curry Corner,Fastfood,Cincinnati,02/20/2026,50.99,50,4
1271,Pasta Palace,Fast-Food, Toledo,"May 22, 2026",60.69,23,
1098,Pasta Palace,MEXICAN, Toledo,04/06/2026,$27.0,40,1
1064,Sushi Spot,Italian,Cincinnati,2026-05-23,$51.34,16,
1014,Sushi Spot,Fastfood,Cleveland,"May 02, 2026",$31.43,18,3
1267,Pasta Palace,Indian, Toledo,24-02-2026,58.74,18,4
1018,Pizza Place,Italian,Toledo,2026-06-11,$56.53,51,5
1085,Noodle Nook,INDIAN, Akron,2026-07-08,42.71,,3
1249,Pasta Palace,INDIAN,toledo,"February 19, 2026",58.7,18,2
1212,Burger Barn,indian, Cleveland,"March 26, 2026",$25.57,53,
1025,Noodle Nook,Itallian,Columbus ,02/07/2026,49.98,30,1
1128,Noodle Nook,Indian,Toledo,2026-03-05,30.45,27,4
1191,Noodle Nook,indian, Cleveland,"March 28, 2026",55.02,23,4
1182,Noodle Nook,Indian,Akron ,23-07-2026,60.36,22,2
1206,Taco Town,MEXICAN,Columbus,2026-04-11,40.58,,5
1069,Curry Corner,indian,Columbus,07/24/2026,43.81,52,2
1161,Pasta Palace,INDIAN,cleveland,12-04-2026,8.98,21,5
1169,Sushi Spot,Mexcian,Akron,2026-02-27,13.11,15,4
1044,Taco Town,Itallian, Akron,"June 26, 2026",27.17,31,5
1006,Sushi Spot,asian,Toledo ,"July 18, 2026",30.55,50,5
1142,Taco Town,Italian, Cincinnati,2026-07-21,34.53,34,3
1012,Burger Barn,Mexcian,cincinnati,03/03/2026,20.81,19,1
1093,Sushi Spot,Indian, Columbus,2026-07-18,18.1,43,5
1101,Sushi Spot,Indian, Columbus,2026-05-24,31.42,43,2
1173,Taco Town,Asain,akron,2026-05-05,61.13,16,4
1109,Sushi Spot,INDIAN,cleveland,04/27/2026,10.53,44,4
1005,Burger Barn,asian,Akron,26-07-2026,56.04,,3
1245,Pasta Palace,ASIAN,toledo,2026-04-18,35.46,34,5
1002,Taco Town,italian,Cincinnati,2026-04-28,13.29,44,4
1079,Pizza Place,Fastfood,Cleveland,26-05-2026,37.25,48,1
1067,Pizza Place,MEXICAN,Cincinnati,28-05-2026,19.36,51,3
1184,Taco Town,Indian,Akron ,2026-05-03,35.62,41,4
1115,Pizza Place,MEXICAN,columbus,"May 07, 2026",51.5,30,1
1156,Sushi Spot,ASIAN, Toledo,"May 09, 2026",38.42,21,4
1171,Taco Town,Itallian,Cincinnati ,07/03/2026,$34.1,39,3
1243,Noodle Nook,italian,Columbus,"April 10, 2026",37.26,23,5
1166,Pizza Place,Fast Food, Cincinnati,05/23/2026,55.8,35,
1154,Noodle Nook,Fast-Food,cincinnati,2026-03-21,23.3,52,5
1220,Noodle Nook,italian,columbus,02-07-2026,53.95,,5
1134,Taco Town,asian,Toledo ,18-04-2026,48.18,32,5
1275,Sushi Spot,fast food,Cleveland,04/10/2026,$64.06,,2
1170,Curry Corner,italian,Toledo,"July 26, 2026",17.66,32,4
